STATE	<BIGBANG>	<ABRE_CHAVE>	<FECHA_CHAVE>	<ENTROPIA>	<ID>	<NUM_BOOL_TRUE>	<NUM_BOOL_FALSE>	<NUM_INTEGER>	<NUM_FLOAT>	<OP_ARIT_MAIS>	<OP_ARIT_MULTI>	<OP_ARIT_MENOS>	<OP_ARIT_DIV>	<OP_LOGICO_E>	<OP_LOGICO_OU>	<OP_LOGICO_NAO_LOGICO>	<ATRIBUICAO>	<PONTO_VIRGULA>	<TIPO_NUM_INTEGER>	<TIPO_NUM_FLOAT>	<TIPO_NUM_BOOL>	<OP_REL_MENOR>	<OP_REL_MAIOR>	<OP_REL_MENOR_IG>	<OP_REL_MAIOR_IG>	<OP_REL_DIF_IG>	<OP_REL_IG_IG>	<IF>	<ABRE_PARENT>	<FECHA_PARENT>	<ELSE>	<FOR>	<WHILE>	$	S	D	F	J	R	N	P	E	K	B	Q	L	T	V	U	X	G
23	?	?	?	?	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	?	r12	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
24	?	?	?	?	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	?	r13	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
25	?	?	?	?	r14	r14	r14	r14	r14	r14	r14	r14	r14	r14	r14	r14	?	r14	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
26	?	?	?	?	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	?	r15	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
27	?	?	r29	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	r29	r29	r29	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
28	?	?	r30	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	r30	r30	r30	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
29	?	?	s46	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
30	?	?	r6	?	s33	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s36	?	?	?	s34	s35	?	?	48	47	?	?	?	?	30	?	?	?	?	?	?	32	?	31
31	?	?	r6	?	s33	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s36	?	?	?	s34	s35	?	?	48	49	?	?	?	?	30	?	?	?	?	?	?	32	?	31
32	?	?	r6	?	s33	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s36	?	?	?	s34	s35	?	?	48	50	?	?	?	?	30	?	?	?	?	?	?	32	?	31
33	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s51	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
34	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s52	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
35	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s53	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
36	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s54	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
37	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	r7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
38	?	?	?	?	s22	s23	s24	s25	s26	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	55	?	?	?	?	?	?	?	?	?	?	?
39	?	?	?	?	r17	r17	r17	r17	r17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
40	?	?	?	?	r18	r18	r18	r18	r18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
41	?	?	?	?	r19	r19	r19	r19	r19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
